Fecha,Departamento,Municipio,Dia,Hora,Barrio,Zona,Clase_de_sitio,Arma_empleada,Movil_Agresor,Movil_Victima,Edad,Sexo,Estado_civil,Pais_nacimiento,Clase_de_empleado,Profesion,Escolaridad,Codigo_DANE,Cantidad
01/01/2018 12:00:00 AM,AMAZONAS,LETICIA (CT),Lunes,9:45:00,ESPERANZA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,16,MASCULINO,SOLTERO,BRASIL,EMPLEADO PARTICULAR,-,SECUNDARIA,91001000,1
01/01/2018 12:00:00 AM,AMAZONAS,LETICIA (CT),Lunes,9:45:00,ESPERANZA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,17,MASCULINO,SOLTERO,BRASIL,EMPLEADO PARTICULAR,-,SECUNDARIA,91001000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,ANDES,Lunes,8:30:00,ALTO DEL CEDRON,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,26,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,5034000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,ANDES,Lunes,2:30:00,PARQUE PRINCIPAL,RURAL,PARQUES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,30,MASCULINO,SOLTERO,COLOMBIA,AGRICULTOR,-,PRIMARIA,5034000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,ANORÍ,Lunes,3:30:00,TENCHE,RURAL,"BARES, CANTINAS Y SIMILARES",ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,25,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,5040000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,ANORÍ,Lunes,7:40:00,LA GUACAMAYA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,56,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,5040000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,ANORÍ,Lunes,5:35:00,PARQUE PRINCIPAL,URBANA,"BARES, CANTINAS Y SIMILARES",ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,25,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,5040000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,CAUCASIA,Lunes,0:01:00,EL BOSQUE,URBANA,TRAMO DE VIA,CONTUNDENTES,A PIE,A PIE,19,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,5154000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,HISPANIA,Lunes,18:30:00,LA CANCHA,URBANA,ESTABLECIMIENTO PUBLICO,ARMA DE FUEGO,A PIE,A PIE,32,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,TECNOLOGO  EN INGENIERIA DE SISTEMAS,TECNOLOGO,5353000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,ITAGUI,Lunes,2:45:00,SANTA MARIA # 2,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,25,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,5360000,1
